ticker,presenca_pct,adtv_2010,motivo
AALR3,57.42,,Presença em pregão < 95%
ADMF3,1.21,,Presença em pregão < 95%
AERI3,32.29,,Presença em pregão < 95%
AESO3,0.0,,Presença em pregão < 95%
AFLT3,42.15,,Presença em pregão < 95%
AGXY3,27.96,,Presença em pregão < 95%
AHEB3,9.65,,Presença em pregão < 95%
AHEB5,2.39,,Presença em pregão < 95%
AHEB6,1.61,,Presença em pregão < 95%
ALLD3,29.77,,Presença em pregão < 95%
ALOS3,93.22,,Presença em pregão < 95%
ALPA3,87.27,,Presença em pregão < 95%
ALPK3,35.42,,Presença em pregão < 95%
ALUP11,79.41,,Presença em pregão < 95%
ALUP3,52.28,,Presença em pregão < 95%
ALUP4,53.06,,Presença em pregão < 95%
AMBP3,34.41,,Presença em pregão < 95%
AMOB3,6.55,,Presença em pregão < 95%
ANIM3,76.13,,Presença em pregão < 95%
APTI3,0.0,,Presença em pregão < 95%
APTI4,0.13,,Presença em pregão < 95%
ARML3,27.91,,Presença em pregão < 95%
ARND3,28.99,,Presença em pregão < 95%
ASAI3,30.5,,Presença em pregão < 95%
ATED3,6.6,,Presença em pregão < 95%
AUAU3,33.32,,Presença em pregão < 95%
AURA33,34.51,,Presença em pregão < 95%
AURE3,23.72,,Presença em pregão < 95%
AVLL3,27.38,,Presença em pregão < 95%
AXIA5,6.1,,Presença em pregão < 95%
AXIA7,0.13,,Presença em pregão < 95%
AZEV3,44.06,,Presença em pregão < 95%
AZEV4,69.15,,Presença em pregão < 95%
AZTE3,5.55,,Presença em pregão < 95%
AZUL53,0.0,,Presença em pregão < 95%
AZZA3,93.27,,Presença em pregão < 95%
BALM3,13.21,,Presença em pregão < 95%
BALM4,37.18,,Presença em pregão < 95%
BAUH3,0.0,,Presença em pregão < 95%
BAUH4,49.23,,Presença em pregão < 95%
BAZA3,91.71,,Presença em pregão < 95%
BBML3,0.0,,Presença em pregão < 95%
BBSE3,79.33,,Presença em pregão < 95%
BDLL3,10.18,,Presença em pregão < 95%
BDLL4,54.4,,Presença em pregão < 95%
BEES4,83.56,,Presença em pregão < 95%
BETP3,0.0,,Presença em pregão < 95%
BGIP3,17.54,,Presença em pregão < 95%
BGIP4,73.18,,Presença em pregão < 95%
BHIA3,77.46,,Presença em pregão < 95%
BIED3,72.15,,Presença em pregão < 95%
BIOM3,67.68,,Presença em pregão < 95%
BLAU3,29.64,,Presença em pregão < 95%
BMEB3,51.78,,Presença em pregão < 95%
BMEB4,88.38,,Presença em pregão < 95%
BMGB4,38.19,,Presença em pregão < 95%
BMIN3,13.21,,Presença em pregão < 95%
BMIN4,64.91,,Presença em pregão < 95%
BMKS3,67.1,,Presença em pregão < 95%
BMOB3,30.78,,Presença em pregão < 95%
BNBR3,35.32,,Presença em pregão < 95%
BOBR3,0.03,,Presença em pregão < 95%
BOBR4,84.27,,Presença em pregão < 95%
BPAC11,54.95,,Presença em pregão < 95%
BPAC3,45.95,,Presença em pregão < 95%
BPAC5,46.13,,Presença em pregão < 95%
BPAR3,0.05,,Presença em pregão < 95%
BRAV3,32.27,,Presença em pregão < 95%
BRBI11,28.56,,Presença em pregão < 95%
BRKM6,13.03,,Presença em pregão < 95%
BRQB3,0.0,,Presença em pregão < 95%
BRSR3,66.85,,Presença em pregão < 95%
BRSR5,21.73,,Presença em pregão < 95%
BRST3,6.71,,Presença em pregão < 95%
BSLI3,23.92,,Presença em pregão < 95%
BSLI4,27.17,,Presença em pregão < 95%
CALI3,4.66,,Presença em pregão < 95%
CAMB3,37.79,,Presença em pregão < 95%
CAML3,51.68,,Presença em pregão < 95%
CASH3,32.39,,Presença em pregão < 95%
CASN3,0.68,,Presença em pregão < 95%
CASN4,0.53,,Presença em pregão < 95%
CATA3,0.0,,Presença em pregão < 95%
CATA4,0.0,,Presença em pregão < 95%
CBAV3,28.13,,Presença em pregão < 95%
CBEE3,37.79,,Presença em pregão < 95%
CCTY3,1.64,,Presença em pregão < 95%
CEAB3,38.77,,Presença em pregão < 95%
CEBR3,41.92,,Presença em pregão < 95%
CEBR5,42.73,,Presença em pregão < 95%
CEBR6,48.05,,Presença em pregão < 95%
CEDO3,26.47,,Presença em pregão < 95%
CEDO4,52.36,,Presença em pregão < 95%
CEEB3,43.53,,Presença em pregão < 95%
CEEB5,4.87,,Presença em pregão < 95%
CEEB6,0.0,,Presença em pregão < 95%
CEED3,12.81,,Presença em pregão < 95%
CEED4,4.59,,Presença em pregão < 95%
CEGR3,5.14,,Presença em pregão < 95%
CGAS3,66.98,,Presença em pregão < 95%
CGRA3,81.09,,Presença em pregão < 95%
CLSC3,17.27,,Presença em pregão < 95%
CMIN3,30.68,,Presença em pregão < 95%
COCE3,32.04,,Presença em pregão < 95%
COCE6,0.05,,Presença em pregão < 95%
COGN3,82.25,,Presença em pregão < 95%
COMR3,0.0,,Presença em pregão < 95%
CRPG3,7.61,,Presença em pregão < 95%
CRPG5,84.57,,Presença em pregão < 95%
CRPG6,59.01,,Presença em pregão < 95%
CRTE3,0.0,,Presença em pregão < 95%
CRTE5,0.0,,Presença em pregão < 95%
CSED3,30.75,,Presença em pregão < 95%
CTAX3,85.4,,Presença em pregão < 95%
CTCA3,0.0,,Presença em pregão < 95%
CTKA3,13.56,,Presença em pregão < 95%
CTKA4,78.09,,Presença em pregão < 95%
CTSA3,74.01,,Presença em pregão < 95%
CTSA4,65.79,,Presença em pregão < 95%
CURY3,33.17,,Presença em pregão < 95%
CVCB3,75.42,,Presença em pregão < 95%
CXSE3,29.47,,Presença em pregão < 95%
CYRE4,0.0,,Presença em pregão < 95%
DASA3,82.98,,Presença em pregão < 95%
DESK3,28.03,,Presença em pregão < 95%
DEXP3,94.35,,Presença em pregão < 95%
DEXP4,29.87,,Presença em pregão < 95%
DMVF3,33.9,,Presença em pregão < 95%
DOHL3,7.23,,Presença em pregão < 95%
DOHL4,60.95,,Presença em pregão < 95%
DOTZ3,28.91,,Presença em pregão < 95%
DTCY3,49.61,,Presença em pregão < 95%
DTCY4,0.0,,Presença em pregão < 95%
EALT3,31.31,,Presença em pregão < 95%
EALT4,82.15,,Presença em pregão < 95%
EGGY3,0.0,,Presença em pregão < 95%
EKTR3,5.27,,Presença em pregão < 95%
EKTR4,39.05,,Presença em pregão < 95%
EMAE3,0.68,,Presença em pregão < 95%
EMAE4,83.19,,Presença em pregão < 95%
ENGI11,82.1,,Presença em pregão < 95%
ENGI3,70.33,,Presença em pregão < 95%
ENGI4,82.03,,Presença em pregão < 95%
ENJU3,32.34,,Presença em pregão < 95%
ENMT3,36.05,,Presença em pregão < 95%
ENMT4,23.59,,Presença em pregão < 95%
EPAR3,67.73,,Presença em pregão < 95%
EQMA3B,49.86,,Presença em pregão < 95%
EQMA5B,0.0,,Presença em pregão < 95%
EQMA6B,0.0,,Presença em pregão < 95%
EQPA3,67.58,,Presença em pregão < 95%
EQPA5,19.21,,Presença em pregão < 95%
EQPA6,2.62,,Presença em pregão < 95%
EQPA7,15.48,,Presença em pregão < 95%
ESPA3,30.96,,Presença em pregão < 95%
ESTR3,0.98,,Presença em pregão < 95%
ESTR4,63.2,,Presença em pregão < 95%
EUCA3,34.91,,Presença em pregão < 95%
EUFA3,0.0,,Presença em pregão < 95%
FESA3,32.14,,Presença em pregão < 95%
FIEI3,68.77,,Presença em pregão < 95%
FIGE3,0.23,,Presença em pregão < 95%
FIGE4,0.0,,Presença em pregão < 95%
FIQE3,27.93,,Presença em pregão < 95%
FRAS3,73.56,,Presença em pregão < 95%
FRIO3,59.64,,Presença em pregão < 95%
G2DI33,29.17,,Presença em pregão < 95%
GEPA3,26.57,,Presença em pregão < 95%
GEPA4,57.0,,Presença em pregão < 95%
GGPS3,29.54,,Presença em pregão < 95%
GMAT3,32.8,,Presença em pregão < 95%
GOLL53,0.0,,Presença em pregão < 95%
GPAR3,8.37,,Presença em pregão < 95%
GSHP3,78.7,,Presença em pregão < 95%
HAGA3,49.13,,Presença em pregão < 95%
HAPV3,48.2,,Presença em pregão < 95%
HBRE3,31.03,,Presença em pregão < 95%
HBSA3,33.07,,Presença em pregão < 95%
HBTS3,0.0,,Presença em pregão < 95%
HBTS5,37.59,,Presença em pregão < 95%
HBTS6,0.0,,Presença em pregão < 95%
HETA3,1.18,,Presença em pregão < 95%
HETA4,64.28,,Presença em pregão < 95%
HMOB3,0.0,,Presença em pregão < 95%
HOOT3,0.0,,Presença em pregão < 95%
HOOT4,91.61,,Presença em pregão < 95%
IFCM3,29.39,,Presença em pregão < 95%
IGSN3,0.0,,Presença em pregão < 95%
IGTI11,25.91,,Presença em pregão < 95%
IGTI3,50.84,,Presença em pregão < 95%
IGTI4,11.6,,Presença em pregão < 95%
INEP3,91.15,,Presença em pregão < 95%
INNC3,0.0,,Presença em pregão < 95%
INTB3,30.88,,Presença em pregão < 95%
IRBR3,52.74,,Presença em pregão < 95%
ISAE3,65.44,,Presença em pregão < 95%
IVPR3B,0.0,,Presença em pregão < 95%
IVPR4B,0.0,,Presença em pregão < 95%
JALL3,30.83,,Presença em pregão < 95%
JBSS32,3.6,,Presença em pregão < 95%
JFEN3,74.84,,Presença em pregão < 95%
JOPA3,16.94,,Presença em pregão < 95%
JOPA4,7.16,,Presença em pregão < 95%
JSLG3,33.35,,Presença em pregão < 95%
KLAS3,0.0,,Presença em pregão < 95%
KLBN11,74.67,,Presença em pregão < 95%
KLBN3,73.73,,Presença em pregão < 95%
LAVV3,33.48,,Presença em pregão < 95%
LEVE3,93.02,,Presença em pregão < 95%
LJQQ3,33.9,,Presença em pregão < 95%
LLBI3,0.0,,Presença em pregão < 95%
LMED3,0.0,,Presença em pregão < 95%
LOGG3,44.04,,Presença em pregão < 95%
LTEL3B,0.0,,Presença em pregão < 95%
LTLA3B,0.0,,Presença em pregão < 95%
LUXM3,0.0,,Presença em pregão < 95%
LUXM4,26.09,,Presença em pregão < 95%
LWSA3,37.08,,Presença em pregão < 95%
MAPT3,3.5,,Presença em pregão < 95%
MAPT4,18.65,,Presença em pregão < 95%
MATD3,29.67,,Presença em pregão < 95%
MDNE3,36.95,,Presença em pregão < 95%
MEAL3,67.28,,Presença em pregão < 95%
MELK3,33.05,,Presença em pregão < 95%
MGEL3,0.03,,Presença em pregão < 95%
MGEL4,87.12,,Presença em pregão < 95%
MGLU3,91.78,,Presença em pregão < 95%
MLAS3,28.01,,Presença em pregão < 95%
MMAQ3,0.03,,Presença em pregão < 95%
MMAQ4,0.05,,Presença em pregão < 95%
MNDL3,77.92,,Presença em pregão < 95%
MNPR3,94.4,,Presença em pregão < 95%
MOVI3,55.68,,Presença em pregão < 95%
MRSA3B,6.02,,Presença em pregão < 95%
MRSA5B,2.8,,Presença em pregão < 95%
MRSA6B,2.47,,Presença em pregão < 95%
MSPA3,3.96,,Presença em pregão < 95%
MSPA4,2.92,,Presença em pregão < 95%
MTRE3,37.11,,Presença em pregão < 95%
MTSA3,1.56,,Presença em pregão < 95%
MTSA4,78.37,,Presença em pregão < 95%
MWET3,5.62,,Presença em pregão < 95%
MWET4,64.96,,Presença em pregão < 95%
NEMO3,0.0,,Presença em pregão < 95%
NEMO5,0.0,,Presença em pregão < 95%
NEMO6,0.0,,Presença em pregão < 95%
NEOE3,40.89,,Presença em pregão < 95%
NGRD3,31.64,,Presença em pregão < 95%
NORD3,26.54,,Presença em pregão < 95%
NUTR3,38.22,,Presença em pregão < 95%
OBTC3,1.46,,Presença em pregão < 95%
ODER3,0.0,,Presença em pregão < 95%
ODER4,0.25,,Presença em pregão < 95%
OFSA3,68.82,,Presença em pregão < 95%
ONCO3,27.68,,Presença em pregão < 95%
OPCT3,30.73,,Presença em pregão < 95%
OPGM3,0.0,,Presença em pregão < 95%
OPSE3,0.0,,Presença em pregão < 95%
OPTS3,0.0,,Presença em pregão < 95%
ORVR3,30.7,,Presença em pregão < 95%
OSXB3,93.55,,Presença em pregão < 95%
PASS3,0.0,,Presença em pregão < 95%
PASS6,0.0,,Presença em pregão < 95%
PATI3,20.77,,Presença em pregão < 95%
PATI4,17.65,,Presença em pregão < 95%
PCAR3,38.09,,Presença em pregão < 95%
PEAB3,20.49,,Presença em pregão < 95%
PEAB4,21.0,,Presença em pregão < 95%
PGMN3,33.48,,Presença em pregão < 95%
PINE3,11.72,,Presença em pregão < 95%
PLAS3,79.18,,Presença em pregão < 95%
PLPL3,33.22,,Presença em pregão < 95%
PNVL3,82.03,,Presença em pregão < 95%
PPAR3,0.0,,Presença em pregão < 95%
PPLA11,54.4,,Presença em pregão < 95%
PRIO3,94.93,,Presença em pregão < 95%
PRNR3,36.9,,Presença em pregão < 95%
PRPT3,0.0,,Presença em pregão < 95%
PTCA3,0.0,,Presença em pregão < 95%
PTNT3,33.68,,Presença em pregão < 95%
PTNT4,81.9,,Presença em pregão < 95%
QUAL3,90.75,,Presença em pregão < 95%
QUSW3,0.0,,Presença em pregão < 95%
QVQP3,0.0,,Presença em pregão < 95%
RAIL3,55.13,,Presença em pregão < 95%
RAIZ4,27.75,,Presença em pregão < 95%
RANI3,74.74,,Presença em pregão < 95%
RAPT3,89.11,,Presença em pregão < 95%
RBNS11,0.0,,Presença em pregão < 95%
RCSL3,74.49,,Presença em pregão < 95%
RDOR3,31.76,,Presença em pregão < 95%
RECV3,29.37,,Presença em pregão < 95%
REDE3,65.89,,Presença em pregão < 95%
RENT4,0.03,,Presença em pregão < 95%
RIOS3,0.25,,Presença em pregão < 95%
RNEW11,94.0,,Presença em pregão < 95%
RNEW3,55.31,,Presença em pregão < 95%
RNEW4,54.75,,Presença em pregão < 95%
RPAD3,28.89,,Presença em pregão < 95%
RPAD5,27.65,,Presença em pregão < 95%
RPAD6,28.91,,Presença em pregão < 95%
RSUL3,0.0,,Presença em pregão < 95%
RSUL4,31.41,,Presença em pregão < 95%
RVEE3,2.62,,Presença em pregão < 95%
SALT3,0.0,,Presença em pregão < 95%
SALT5,0.0,,Presença em pregão < 95%
SALT6,0.0,,Presença em pregão < 95%
SAPR11,50.77,,Presença em pregão < 95%
SAPR3,55.81,,Presença em pregão < 95%
SBFG3,42.15,,Presença em pregão < 95%
SEER3,76.1,,Presença em pregão < 95%
SEQL3,32.87,,Presença em pregão < 95%
SHOW3,92.06,,Presença em pregão < 95%
SHUL3,0.23,,Presença em pregão < 95%
SMFT3,28.16,,Presença em pregão < 95%
SNSY3,22.01,,Presença em pregão < 95%
SNSY5,71.49,,Presença em pregão < 95%
SNSY6,0.15,,Presença em pregão < 95%
SOJA3,29.47,,Presença em pregão < 95%
SOND3,0.43,,Presença em pregão < 95%
SOND5,16.76,,Presença em pregão < 95%
SOND6,9.0,,Presença em pregão < 95%
SRNA3,51.98,,Presença em pregão < 95%
SUZB3,50.92,,Presença em pregão < 95%
SYNE3,84.37,,Presença em pregão < 95%
TAEE11,94.53,,Presença em pregão < 95%
TAEE3,51.73,,Presença em pregão < 95%
TAEE4,52.51,,Presença em pregão < 95%
TASA3,83.29,,Presença em pregão < 95%
TECN3,90.65,,Presença em pregão < 95%
TEKA3,24.58,,Presença em pregão < 95%
TEKA4,75.52,,Presença em pregão < 95%
TELB3,62.34,,Presença em pregão < 95%
TEND3,54.25,,Presença em pregão < 95%
TFCO4,32.57,,Presença em pregão < 95%
TKNO3,0.45,,Presença em pregão < 95%
TKNO4,15.15,,Presença em pregão < 95%
TOKY3,30.85,,Presença em pregão < 95%
TRAD3,27.91,,Presença em pregão < 95%
TTEN3,28.21,,Presença em pregão < 95%
TXRX3,14.24,,Presença em pregão < 95%
TXRX4,58.36,,Presença em pregão < 95%
UCAS3,85.51,,Presença em pregão < 95%
UGPA3,89.92,,Presença em pregão < 95%
UNIP3,84.5,,Presença em pregão < 95%
UNIP5,62.72,,Presença em pregão < 95%
USIM6,10.97,,Presença em pregão < 95%
VAMO3,30.98,,Presença em pregão < 95%
VBBR3,50.37,,Presença em pregão < 95%
VITT3,27.25,,Presença em pregão < 95%
VIVA3,39.05,,Presença em pregão < 95%
VTRU3,9.91,,Presença em pregão < 95%
VULC3,85.48,,Presença em pregão < 95%
VVEO3,27.7,,Presença em pregão < 95%
WDCN3,27.96,,Presença em pregão < 95%
WEST3,30.63,,Presença em pregão < 95%
WHRL3,80.46,,Presença em pregão < 95%
WIZC3,66.2,,Presença em pregão < 95%
WLMM3,17.8,,Presença em pregão < 95%
WLMM4,66.68,,Presença em pregão < 95%
ZAMP3,49.89,,Presença em pregão < 95%
CGRA4,96.12,,IPO posterior à data inicial da janela (lookahead bias)
ECOR3,98.51,,IPO posterior à data inicial da janela (lookahead bias)
MILS3,98.26,,IPO posterior à data inicial da janela (lookahead bias)
SIMH3,98.19,,IPO posterior à data inicial da janela (lookahead bias)
WHRL4,95.06,32122.61,ADTV 201 diário inferior ao percentil p10
SAPR4,99.12,56903.76,ADTV 201 diário inferior ao percentil p10
SHUL4,95.39,124505.85,ADTV 201 diário inferior ao percentil p10
BEES3,99.24,163348.32,ADTV 201 diário inferior ao percentil p10
BRKM3,96.02,210540.59,ADTV 201 diário inferior ao percentil p10
RCSL4,99.45,211317.45,ADTV 201 diário inferior ao percentil p10
PTBL3,98.69,242603.19,ADTV 201 diário inferior ao percentil p10
DIRR3,99.55,258569.43,ADTV 201 diário inferior ao percentil p10
TUPY3,97.68,269617.59,ADTV 201 diário inferior ao percentil p10
SANB3,99.6,297886.21,ADTV 201 diário inferior ao percentil p10
POMO3,99.57,348859.94,ADTV 201 diário inferior ao percentil p10
GOAU3,99.55,349836.64,ADTV 201 diário inferior ao percentil p10
BRAP3,99.22,354780.54,ADTV 201 diário inferior ao percentil p10
