Ativo,Peso Mkt Real,Retorno Implicito Equilíbrio (Π)
ABCB4,0.001083504795989506,-0.3924%
ABEV3,0.04375868627300214,-0.2765%
AGRO3,0.0003335662000177018,-0.1481%
ALPA4,0.0013690045348494077,-0.3493%
AMAR3,6.659464979283112e-05,-0.4625%
AMER3,0.00017782156595740097,-0.4737%
AXIA3,0.021588194376107622,-0.6244%
AXIA6,0.023702855735268633,-0.5366%
B3SA3,0.01442326847840548,-0.5258%
BBAS3,0.020678756967185314,-0.6421%
BBDC3,0.03076226658350817,-0.5565%
BBDC4,0.03294019978746638,-0.5791%
BEEF3,0.0007594733314543042,-0.2506%
BEES3,0.0005439458632642031,-0.1855%
BRAP3,0.0013558840452978075,-0.4448%
BRAP4,0.0015753743500965087,-0.494%
BRKM3,0.0012848133358417072,-0.3083%
BRKM5,0.0017484946847397098,-0.4558%
BRSR6,0.0010504892887033058,-0.4851%
CGAS5,0.0029837968871617164,-0.1626%
CGRA4,0.00010687710018490059,-0.2034%
CLSC4,0.0010127023673301057,-0.1918%
CMIG3,0.008326966692130646,-0.4508%
CMIG4,0.005832998894095732,-0.4873%
COCE5,0.0004991569883232028,-0.1637%
CPFE3,0.00908449648645545,-0.3024%
CPLE3,0.007773395229287844,-0.3813%
CSAN3,0.003046422238873517,-0.4618%
CSMG3,0.00362196782645702,-0.3337%
CSNA3,0.001442736840659308,-0.6885%
CSUD3,0.00012445862258570067,-0.2864%
CYRE3,0.0013989566240454078,-0.5692%
DIRR3,0.0011542371341004066,-0.4113%
DXCO3,0.0007669435544430043,-0.4805%
ECOR3,0.0009196970974034051,-0.4947%
EGIE3,0.006526627504277837,-0.2494%
EMBJ3,0.008943310512388251,-0.3277%
ENEV3,0.008424438297809747,-0.3033%
EQTL3,0.008567725512740647,-0.2786%
ETER3,4.060795643270007e-05,-0.3332%
EUCA4,0.0004215354870929023,-0.3078%
EVEN3,0.00019364155609360108,-0.5318%
EZTC3,0.0006265591949117035,-0.502%
FESA4,0.0003808820467360021,-0.3137%
FHER3,4.0065486713276355e-05,-0.3047%
FICT3,1.896171431226077e-06,-0.2349%
FLRY3,0.0015050438337220085,-0.2615%
GFSA3,5.210475750442843e-06,-0.5231%
GGBR3,0.007005843224326939,-0.4765%
GGBR4,0.008125643765271045,-0.5473%
GOAU3,0.0022361513357616125,-0.5006%
GOAU4,0.002379341346168713,-0.59%
GOLL54,0.0011542371341004066,-1.0624%
GRND3,0.0006435090723565036,-0.2682%
HAGA4,3.40816012440367e-06,-0.2252%
HBOR3,5.1149304013452116e-05,-0.5481%
HYPE3,0.0028113147454072156,-0.3408%
INEP4,1.804714901598449e-05,-0.2435%
ISAE4,0.0032898618385137184,-0.2138%
ITSA3,0.025727929568760643,-0.381%
ITSA4,0.02540627149931094,-0.5108%
ITUB3,0.07807914160393803,-0.4654%
ITUB4,0.07694919342716593,-0.5341%
JHSF3,0.0012261397999219067,-0.4722%
KEPL3,0.00021917519705980123,-0.239%
KLBN4,0.00361844411635712,-0.2195%
LAND3,0.00014435369796040082,-0.2461%
LIGT3,0.0003742673203924021,-0.4645%
LOGN3,0.0005828285489159033,-0.3937%
LPSB3,3.931921546691669e-05,-0.4542%
LREN3,0.002349507673109913,-0.4764%
LUPA3,6.3912449930397936e-06,-0.4247%
MBRF3,0.004115197598326422,-0.3965%
MDIA3,0.0011888919302011065,-0.2731%
MILS3,0.0005063037803204029,-0.4446%
MOTV3,0.005230449631572329,-0.45%
MRVE3,0.0006062583897913033,-0.5113%
MULT3,0.002566823603091114,-0.4178%
MYPK3,0.00023686155555400132,-0.4147%
NATU3,0.0024193285574175133,-0.4108%
NEXP3,1.2240700421649254e-06,-0.3768%
ODPV3,0.0014747438740671083,-0.2024%
OIBR3,7.827732339058943e-06,-0.4%
OIBR4,6.937709470244543e-05,-0.3523%
PDGR3,9.178261135022219e-07,-0.5638%
PDTC3,2.0326630836044817e-05,-0.2643%
PETR3,0.11844769117970615,-0.8056%
PETR4,0.11286816479391762,-0.8%
PFRM3,0.0001428920679358008,-0.2922%
PINE4,0.0006224273570794034,-0.275%
PMAM3,1.40121713069399e-05,-0.4065%
POMO3,0.001270032253637807,-0.3342%
POMO4,0.0012968640222851071,-0.4003%
POSI3,9.679120859669236e-05,-0.4592%
PRIO3,0.009906361288528355,-0.5702%
PSSA3,0.00552423969895033,-0.2611%
PTBL3,4.799725538720198e-05,-0.3693%
RADL3,0.005921181288716833,-0.2432%
RAPT4,0.0003039890952561017,-0.4992%
RCSL4,1.1234751186439823e-05,-0.2728%
RDNI3,0.0011542371341004066,-0.2345%
RENT3,0.008242389533984245,-0.4735%
RIAA3,0.0007497020173145041,-0.4432%
ROMI3,0.0001080790147546006,-0.3062%
RPMG3,2.6090206609695626e-05,-0.2628%
RSID3,5.771842466782744e-06,-0.5345%
SANB11,0.02559133710790154,-0.5222%
SANB3,0.017222637765416396,-0.5348%
SANB4,0.018476908868089004,-0.4729%
SAPR4,0.0019544469078769107,-0.2756%
SBSP3,0.0180021140171602,-0.4237%
SCAR3,0.0001395909068553008,-0.2236%
SHUL4,0.0003140583403391017,-0.2455%
SIMH3,0.0009179604196163051,-0.4511%
SLCE3,0.0015205299715089085,-0.1844%
SMTO3,0.0010587255737195059,-0.308%
TASA4,0.0001102437290655006,-0.2895%
TCSA3,1.5249830038909012e-05,-0.4811%
TELB4,0.00014897912081300084,-0.2695%
TGMA3,0.000357262961379802,-0.4128%
TIMS3,0.009435619146891653,-0.3238%
TOTS3,0.0032521619769796182,-0.2997%
TPIS3,7.289765188051153e-05,-0.3357%
TRIS3,0.00016951161669710095,-0.383%
TUPY3,0.00030718045165330167,-0.2188%
UNIP6,0.0011862556955589065,-0.3016%
USIM3,0.0018602688201807104,-0.4703%
USIM5,0.001984434595693611,-0.6283%
VALE3,0.06215410270487285,-0.4882%
VIVR3,3.2523786928054315e-06,-0.3695%
VIVT3,0.02010609652791541,-0.2392%
VLID3,0.00024399110158730136,-0.3207%
VSTE3,8.15541170538458e-05,-0.3155%
WEGE3_,0.0011542371341004066,-0.2632%
WHRL4,0.001101710539281406,-0.1781%
YDUQ3,0.00043398011008600237,-0.4568%
